description,design_thickness,Fy,area,weight,Ix,Sx,Rx,Iy,Ry,Ixe,Sxe,Mal,Mad,Vag,Vanet,J,Cw,Xo,m,Ro,Beta,Lu,notes
600S350-68,0.0713,33,1.032,3.51,6.237,2.079,2.459,1.841,1.336,6.237,1.949,38.5,37.63,4347,2339,1.748,15.968,-3.018,1.777,4.115,0.462,91.8,
600S350-68,0.0713,50,1.032,3.51,6.237,2.079,2.459,1.841,1.336,6.166,1.771,53.01,49.69,5350,2879,1.748,15.968,-3.018,1.777,4.115,0.462,74.4,
600S350-97,0.1017,33,1.449,4.93,8.631,2.877,2.441,2.518,1.318,8.631,2.822,61.55,62.49,6911,2512,4.994,21.811,-2.979,1.757,4.071,0.464,87.5,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
600S350-97,0.1017,50,1.449,4.93,8.631,2.877,2.441,2.518,1.318,8.631,2.593,77.64,78.36,10472,3805,4.994,21.811,-2.979,1.757,4.071,0.464,74.4,
600S350-118,0.1242,33,1.748,5.95,10.304,3.435,2.428,2.978,1.305,10.304,3.435,76.39,76.4,8267,2391,8.99,25.791,-2.951,1.742,4.038,0.466,86.9,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
600S350-118,0.1242,50,1.748,5.95,10.304,3.435,2.428,2.978,1.305,10.304,3.268,108.43,107.66,12526,3622,8.99,25.791,-2.951,1.742,4.038,0.466,70.6,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
800S137-331,0.0346,33,0.388,1.32,3.198,0.799,2.873,0.073,0.435,2.998,0.622,12.3,10.71,474,474,0.155,0.957,-0.696,0.46,2.987,0.946,32.5,
800S137-43,0.0451,33,0.503,1.71,4.134,1.033,2.866,0.093,0.43,4.001,0.896,17.7,15.78,1051,1051,0.341,1.214,-0.687,0.454,2.978,0.947,32.2,
800S137-54,0.0566,33,0.627,2.13,5.11,1.277,2.855,0.112,0.423,5.077,1.179,23.29,21.74,2091,2091,0.67,1.478,-0.676,0.448,2.964,0.948,32,
800S137-54,0.0566,50,0.627,2.13,5.11,1.277,2.855,0.112,0.423,4.974,1.083,32.42,28.47,2091,2091,0.67,1.478,-0.676,0.448,2.964,0.948,25.9,
800S137-68,0.0713,33,0.782,2.66,6.303,1.576,2.839,0.134,0.414,6.303,1.541,30.45,29.75,4221,3367,1.325,1.789,-0.661,0.44,2.944,0.95,31.6,
800S137-68,0.0713,50,0.782,2.66,6.303,1.576,2.839,0.134,0.414,6.285,1.468,43.96,39.57,4221,3367,1.325,1.789,-0.661,0.44,2.944,0.95,25.6,
800S137-97,0.1017,33,1.093,3.72,8.597,2.149,2.805,0.169,0.394,8.597,2.149,53.09,53.09,8843,4824,3.767,2.349,-0.63,0.423,2.902,0.953,27.6,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
800S137-97,0.1017,50,1.093,3.72,8.597,2.149,2.805,0.169,0.394,8.597,2.149,64.35,63.91,10885,5938,3.767,2.349,-0.63,0.423,2.902,0.953,25,
800S137-118,0.1242,33,1.314,4.47,10.147,2.537,2.779,0.188,0.378,10.147,2.537,65.14,65.14,11341,4971,6.755,2.694,-0.608,0.411,2.87,0.955,26.6,
800S137-118,0.1242,50,1.314,4.47,10.147,2.537,2.779,0.188,0.378,10.147,2.537,95.56,95.56,16235,7115,6.755,2.694,-0.608,0.411,2.87,0.955,21.9,
800S162-331,0.0346,33,0.413,1.41,3.582,0.896,2.943,0.125,0.55,3.384,0.71,14.03,12.61,474,474,0.165,1.63,-0.936,0.607,3.137,0.911,40.1,
800S162-43,0.0451,33,0.537,1.83,4.633,1.158,2.937,0.16,0.546,4.5,1.019,20.14,18.33,1051,1051,0.364,2.076,-0.926,0.601,3.128,0.912,39.8,
800S162-54,0.0566,33,0.67,2.28,5.736,1.434,2.927,0.194,0.539,5.702,1.334,26.36,24.98,2091,2091,0.715,2.539,-0.914,0.594,3.113,0.914,39.6,
800S162-54,0.0566,50,0.67,2.28,5.736,1.434,2.927,0.194,0.539,5.6,1.229,36.79,32.81,2091,2091,0.715,2.539,-0.914,0.594,3.113,0.914,32.1,
800S162-68,0.0713,33,0.836,2.84,7.089,1.772,2.913,0.235,0.53,7.089,1.737,34.32,33.84,4221,3367,1.416,3.093,-0.899,0.586,3.094,0.916,39.3,
800S162-68,0.0713,50,0.836,2.84,7.089,1.772,2.913,0.235,0.53,7.07,1.663,49.8,45.11,4221,3367,1.416,3.093,-0.899,0.586,3.094,0.916,31.9,
800S162-97,0.1017,33,1.169,3.98,9.713,2.428,2.883,0.305,0.51,9.713,2.428,58.27,58.27,8843,4824,4.03,4.114,-0.866,0.568,3.053,0.919,35.1,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
800S162-97,0.1017,50,1.169,3.98,9.713,2.428,2.883,0.305,0.51,9.713,2.428,72.7,71.93,10885,5938,4.03,4.114,-0.866,0.568,3.053,0.919,31.4,
800S162-118,0.1242,33,1.407,4.79,11.504,2.876,2.86,0.345,0.496,11.504,2.876,71.47,71.47,11341,4971,7.234,4.766,-0.842,0.556,3.022,0.922,34.1,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
800S162-118,0.1242,50,1.407,4.79,11.504,2.876,2.86,0.345,0.496,11.504,2.876,105.23,105.23,16235,7115,7.234,4.766,-0.842,0.556,3.022,0.922,28,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
800S200-331,0.0346,33,0.448,1.52,4.096,1.024,3.023,0.227,0.712,4.096,0.816,16.12,14.52,474,474,0.179,2.971,-1.288,0.817,3.363,0.853,50.6,
800S200-43,0.0451,33,0.582,1.98,5.302,1.325,3.018,0.292,0.708,5.302,1.293,25.54,20.99,1051,1051,0.395,3.797,-1.277,0.811,3.353,0.855,50.3,
800S200-54,0.0566,33,0.726,2.47,6.573,1.643,3.009,0.357,0.701,6.573,1.643,35.75,30.37,2091,2091,0.775,4.663,-1.265,0.804,3.338,0.856,47.8,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
800S200-54,0.0566,50,0.726,2.47,6.573,1.643,3.009,0.357,0.701,6.573,1.499,44.87,37.37,2091,2091,0.775,4.663,-1.265,0.804,3.338,0.856,40.7,
800S200-68,0.0713,33,0.907,3.09,8.14,2.035,2.996,0.435,0.692,8.14,2.035,45.29,41.79,4221,3367,1.537,5.712,-1.248,0.796,3.319,0.859,47,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
800S200-68,0.0713,50,0.907,3.09,8.14,2.035,2.996,0.435,0.692,8.14,1.964,65.21,54.7,4221,3367,1.537,5.712,-1.248,0.796,3.319,0.859,38.4,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
800S200-97,0.1017,33,1.271,4.32,11.203,2.801,2.969,0.576,0.673,11.203,2.801,65.12,65.12,8843,4824,4.381,7.684,-1.214,0.777,3.278,0.863,45.5,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
800S200-97,0.1017,50,1.271,4.32,11.203,2.801,2.969,0.576,0.673,11.203,2.801,96.63,89.76,10885,5938,4.381,7.684,-1.214,0.777,3.278,0.863,37.2,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
800S200-118,0.1242,33,1.531,5.21,13.316,3.329,2.949,0.665,0.659,13.316,3.329,79.78,79.78,11341,4971,7.872,8.981,-1.188,0.764,3.247,0.866,44.6,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
800S200-118,0.1242,50,1.531,5.21,13.316,3.329,2.949,0.665,0.659,13.316,3.329,117.95,117.55,16235,7115,7.872,8.981,-1.188,0.764,3.247,0.866,36.5,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
800S250-43,0.0451,33,0.627,2.13,6.015,1.504,3.097,0.5,0.893,6.015,1.313,25.95,22.06,1051,1051,0.425,6.374,-1.675,1.043,3.632,0.787,61.5,
800S250-54,0.0566,33,0.783,2.66,7.465,1.866,3.088,0.614,0.886,7.465,1.712,33.82,30.07,2091,2091,0.836,7.85,-1.661,1.036,3.617,0.789,61.4,
800S250-54,0.0566,50,0.783,2.66,7.465,1.866,3.088,0.614,0.886,7.378,1.525,45.66,39.13,2091,2091,0.836,7.85,-1.661,1.036,3.617,0.789,49.8,
800S250-68,0.0713,33,0.978,3.33,9.261,2.315,3.077,0.752,0.877,9.261,2.22,48.33,43.63,4221,3367,1.658,9.652,-1.644,1.027,3.597,0.791,58.2,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
800S250-68,0.0713,50,0.978,3.33,9.261,2.315,3.077,0.752,0.877,9.24,2.059,61.65,53.75,4221,3367,1.658,9.652,-1.644,1.027,3.597,0.791,49.6,
800S250-97,0.1017,33,1.372,4.67,12.789,3.197,3.053,1.009,0.857,12.789,3.191,72.07,70.72,8843,4824,4.731,13.091,-1.607,1.008,3.555,0.796,56.8,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
800S250-97,0.1017,50,1.372,4.67,12.789,3.197,3.053,1.009,0.857,12.789,3.054,102.702,93.42,10885,5938,4.731,13.091,-1.607,1.008,3.555,0.796,46.4,
800S250-118,0.1242,33,1.655,5.63,15.242,3.81,3.035,1.175,0.843,15.242,3.81,88.31,88.31,11341,4971,8.511,15.395,-1.58,0.994,3.524,0.799,55.9,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
800S250-118,0.1242,50,1.655,5.63,15.242,3.81,3.035,1.175,0.843,15.242,3.707,127.51,122.92,16235,7115,8.511,15.395,-1.58,0.994,3.524,0.799,45.6,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
800S300-54,0.0566,33,0.839,2.86,8.358,2.09,3.156,0.96,1.069,8.249,1.785,35.28,31.13,2091,2091,0.896,12.076,-2.073,1.271,3.924,0.721,72.2,
800S300-54,0.0566,50,0.839,2.86,8.358,2.09,3.156,0.96,1.069,7.862,1.535,45.96,40.22,2091,2091,0.896,12.076,-2.073,1.271,3.924,0.721,58.6,
800S300-68,0.0713,33,1.05,3.57,10.382,2.595,3.145,1.179,1.06,10.351,2.321,45.86,42.54,4221,3367,1.779,14.888,-2.055,1.262,3.903,0.723,72,
800S300-68,0.0713,50,1.05,3.57,10.382,2.595,3.145,1.179,1.06,10.082,2.145,64.21,55.47,4221,3367,1.779,14.888,-2.055,1.262,3.903,0.723,58.4,
800S300-97,0.1017,33,1.474,5.02,14.375,3.594,3.123,1.595,1.04,14.375,3.443,76.21,73.25,8843,4824,5.082,20.304,-2.017,1.243,3.86,0.727,67.7,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
800S300-97,0.1017,50,1.474,5.02,14.375,3.594,3.123,1.595,1.04,14.17,3.304,98.92,89.89,10885,5938,5.082,20.304,-2.017,1.243,3.86,0.727,58.1,
800S300-118,0.1242,33,1.779,6.05,17.167,4.292,3.106,1.871,1.025,17.167,4.168,94.33,95.78,11341,4971,9.149,23.979,-1.989,1.229,3.828,0.73,66.8,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
800S300-118,0.1242,50,1.779,6.05,17.167,4.292,3.106,1.871,1.025,17.022,4.108,138.41,126.69,16235,7115,9.149,23.979,-1.989,1.229,3.828,0.73,54.5,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
800S350-54,0.0566,33,0.938,3.19,9.683,2.421,3.212,1.646,1.325,9.477,2.125,41.98,38.29,2091,2091,1.002,22.897,-2.766,1.668,4.441,0.612,90,
800S350-54,0.0566,50,0.938,3.19,9.683,2.421,3.212,1.646,1.325,9.191,1.869,55.96,49.74,2091,2091,1.002,22.897,-2.766,1.668,4.441,0.612,73.1,
800S350-68,0.0713,33,1.174,4,12.046,3.012,3.203,2.034,1.316,12.046,2.837,56.07,51.89,4221,3367,1.99,28.308,-2.748,1.658,4.421,0.614,89.9,
800S350-68,0.0713,50,1.174,4,12.046,3.012,3.203,2.034,1.316,11.909,2.596,77.73,68.05,4221,3367,1.99,28.308,-2.748,1.658,4.421,0.614,72.9,
800S350-97,0.1017,33,1.652,5.62,16.737,4.184,3.183,2.784,1.298,16.737,4.101,89.43,87.25,8843,4824,5.696,38.834,-2.71,1.639,4.377,0.617,85.4,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
800S350-97,0.1017,50,1.652,5.62,16.737,4.184,3.183,2.784,1.298,16.737,3.785,113.34,108.67,10885,5938,5.696,38.834,-2.71,1.639,4.377,0.617,72.7,
800S350-118,0.1242,33,1.997,6.79,20.041,5.01,3.168,3.295,1.285,20.041,5.01,111.44,111.44,11341,4971,10.267,46.068,-2.682,1.624,4.345,0.619,84.6,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
800S350-118,0.1242,50,1.997,6.79,20.041,5.01,3.168,3.295,1.285,20.041,4.762,158.02,150.37,16235,7115,10.267,46.068,-2.682,1.624,4.345,0.619,68.9,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
1000S162-431,0.0451,33,0.627,2.13,8.025,1.605,3.577,0.168,0.518,7.523,1.302,25.74,22.49,836,836,0.425,3.43,-0.823,0.545,3.707,0.951,38.8,
1000S162-54,0.0566,33,0.783,2.66,9.95,1.99,3.565,0.204,0.511,9.627,1.722,34.02,31.11,1661,1661,0.836,4.198,-0.812,0.538,3.692,0.952,38.6,
1000S162-54,0.0566,50,0.783,2.66,9.95,1.99,3.565,0.204,0.511,9.391,1.572,47.07,40.37,1661,1661,0.836,4.198,-0.812,0.538,3.692,0.952,31.3,
1000S162-68,0.0713,33,0.978,3.33,12.325,2.465,3.55,0.246,0.502,12.256,2.276,44.98,42.91,3345,3345,1.658,5.121,-0.798,0.531,3.673,0.953,38.2,
1000S162-68,0.0713,50,0.978,3.33,12.325,2.465,3.55,0.246,0.502,11.978,2.154,64.51,56.35,3345,3345,1.658,5.121,-0.798,0.531,3.673,0.953,31,
1000S162-97,0.1017,33,1.372,4.67,16.967,3.393,3.516,0.32,0.483,16.967,3.393,67.06,67.05,8843,6434,4.731,6.827,-0.768,0.514,3.631,0.955,37.5,
1000S162-97,0.1017,50,1.372,4.67,16.967,3.393,3.516,0.32,0.483,16.967,3.269,97.89,92.56,9864,7177,4.731,6.827,-0.768,0.514,3.631,0.955,30.4,
1000S162-118,0.1242,33,1.655,5.63,20.169,4.034,3.491,0.363,0.468,20.169,4.034,100.24,100.25,13189,7747,8.511,7.924,-0.746,0.502,3.6,0.957,32.9,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
1000S162-118,0.1242,50,1.655,5.63,20.169,4.034,3.491,0.363,0.468,20.169,4.034,120.77,120.34,16235,9536,8.511,7.924,-0.746,0.502,3.6,0.957,30,
1000S200-431,0.0451,33,0.672,2.29,9.085,1.817,3.676,0.309,0.677,8.602,1.47,29.05,26.14,836,836,0.456,6.236,-1.147,0.743,3.91,0.914,49.3,
1000S200-54,0.0566,33,0.839,2.86,11.278,2.256,3.666,0.378,0.671,10.953,1.984,39.2,35.86,1661,1661,0.896,7.665,-1.135,0.737,3.896,0.915,49.1,
1000S200-54,0.0566,50,0.839,2.86,11.278,2.256,3.666,0.378,0.671,10.769,1.705,51.05,46.62,1661,1661,0.896,7.665,-1.135,0.737,3.896,0.915,39.8,
1000S200-68,0.0713,33,1.05,3.57,13.994,2.799,3.652,0.46,0.662,13.92,2.607,51.51,49.07,3345,3345,1.779,9.401,-1.12,0.729,3.876,0.917,48.8,
1000S200-68,0.0713,50,1.05,3.57,13.994,2.799,3.652,0.46,0.662,13.665,2.42,72.46,64.5,3345,3345,1.779,9.401,-1.12,0.729,3.876,0.917,39.6,
1000S200-97,0.1017,33,1.474,5.02,19.336,3.867,3.622,0.609,0.643,19.336,3.867,76.42,76.42,8843,6434,5.082,12.679,-1.088,0.711,3.836,0.92,48.2,
1000S200-97,0.1017,50,1.474,5.02,19.336,3.867,3.622,0.609,0.643,19.336,3.741,112,104.73,9864,7177,5.082,12.679,-1.088,0.711,3.836,0.92,39,
1000S200-118,0.1242,33,1.779,6.05,23.052,4.61,3.599,0.703,0.629,23.052,4.61,110.50,110.5,13189,7747,9.149,14.848,-1.064,0.699,3.805,0.922,43.3,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
1000S200-118,0.1242,50,1.779,6.05,23.052,4.61,3.599,0.703,0.629,23.052,4.61,138.04,135.74,16235,9536,9.149,14.848,-1.064,0.699,3.805,0.922,38.7,
1000S250-431,0.0451,33,0.717,2.44,10.203,2.041,3.771,0.531,0.86,10.203,1.617,31.95,27.67,836,836,0.486,10.481,-1.518,0.965,4.155,0.867,60.7,
1000S250-54,0.0566,33,0.896,3.05,12.677,2.535,3.762,0.653,0.854,12.677,2.277,44.99,38.02,1661,1661,0.957,12.922,-1.505,0.958,4.14,0.868,60.5,
1000S250-54,0.0566,50,0.896,3.05,12.677,2.535,3.762,0.653,0.854,12.66,1.879,56.26,49.16,1661,1661,0.957,12.922,-1.505,0.958,4.14,0.868,49.1,
1000S250-68,0.0713,33,1.121,3.81,15.751,3.15,3.749,0.799,0.844,15.751,3.028,65.93,55.62,3345,3345,1.899,15.909,-1.488,0.95,4.121,0.87,57.3,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
1000S250-68,0.0713,50,1.121,3.81,15.751,3.15,3.749,0.799,0.844,15.741,2.768,82.89,68.13,3345,3345,1.899,15.909,-1.488,0.95,4.121,0.87,48.8,
1000S250-97,0.1017,33,1.576,5.36,21.827,4.365,3.722,1.072,0.825,21.827,4.357,98.41,91.77,8843,6434,5.433,21.632,-1.454,0.932,4.08,0.873,55.8,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
1000S250-97,0.1017,50,1.576,5.36,21.827,4.365,3.722,1.072,0.825,21.827,4.181,140.63,120.13,9864,7177,5.433,21.632,-1.454,0.932,4.08,0.873,45.6,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
1000S250-118,0.1242,33,1.904,6.48,26.08,5.216,3.701,1.249,0.81,26.08,5.216,120.89,120.71,13189,7747,9.788,25.49,-1.428,0.918,4.049,0.876,54.7,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
1000S250-118,0.1242,50,1.904,6.48,26.08,5.216,3.701,1.249,0.81,26.08,5.082,174.84,159.8,16235,9536,9.788,25.49,-1.428,0.918,4.049,0.876,44.8,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
1000S300-54,0.0566,33,0.953,3.24,14.076,2.815,3.844,1.024,1.037,13.938,2.312,45.69,39.41,1661,1661,1.017,19.888,-1.892,1.185,4.408,0.816,71.5,
1000S300-54,0.0566,50,0.953,3.24,14.076,2.815,3.844,1.024,1.037,13.44,1.902,56.96,50.69,1661,1661,1.017,19.888,-1.892,1.185,4.408,0.816,58.1,
1000S300-68,0.0713,33,1.192,4.06,17.509,3.502,3.832,1.258,1.027,17.441,3.158,62.41,54.29,3345,3345,2.02,24.551,-1.874,1.176,4.388,0.818,71.3,
1000S300-68,0.0713,50,1.192,4.06,17.509,3.502,3.832,1.258,1.027,17.099,2.802,83.89,70.4,3345,3345,2.02,24.551,-1.874,1.176,4.388,0.818,57.8,
1000S300-97,0.1017,33,1.677,5.71,24.318,4.864,3.808,1.702,1.007,24.318,4.671,103.39,94.7,8843,6434,5.783,33.57,-1.838,1.158,4.346,0.821,66.9,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
1000S300-97,0.1017,50,1.677,5.71,24.318,4.864,3.808,1.702,1.007,23.97,4.499,134.69,115.62,9864,7177,5.783,33.57,-1.838,1.158,4.346,0.821,57.4,
1000S300-118,0.1242,33,2.028,6.9,29.109,5.822,3.789,1.997,0.992,29.109,5.662,128.16,125.04,13189,7747,10.427,39.725,-1.811,1.144,4.315,0.824,65.8,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
1000S300-118,0.1242,50,2.028,6.9,29.109,5.822,3.789,1.997,0.992,28.861,5.586,188.23,164.19,16235,9536,10.427,39.725,-1.811,1.144,4.315,0.824,53.8,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
1000S350-54,0.0566,33,1.052,3.58,16.22,3.244,3.927,1.768,1.297,15.942,2.772,54.77,48.69,1661,1661,1.123,36.575,-2.546,1.566,4.857,0.725,88.9,
1000S350-54,0.0566,50,1.052,3.58,16.22,3.244,3.927,1.768,1.297,15.577,2.328,69.69,62.97,1661,1661,1.123,36.575,-2.546,1.566,4.857,0.725,72.2,
1000S350-68,0.0713,33,1.317,4.48,20.204,4.041,3.917,2.185,1.288,20.204,3.824,75.57,66.4,3345,3345,2.232,45.277,-2.529,1.557,4.837,0.727,88.7,
1000S350-68,0.0713,50,1.317,4.48,20.204,4.041,3.917,2.185,1.288,20.026,3.417,102.32,86.6,3345,3345,2.232,45.277,-2.529,1.557,4.837,0.727,72,
1000S350-97,0.1017,33,1.855,6.31,28.148,5.63,3.895,2.992,1.27,28.148,5.517,120.33,112.8,8843,6434,6.397,62.28,-2.492,1.538,4.795,0.73,84.1,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
1000S350-97,0.1017,50,1.855,6.31,28.148,5.63,3.895,2.992,1.27,28.148,5.118,153.25,139.74,9864,7177,6.397,62.28,-2.492,1.538,4.795,0.73,71.6,
1000S350-118,0.1242,33,2.245,7.64,33.772,6.754,3.878,3.543,1.256,33.772,6.754,150.23,147.03,13189,7747,11.544,74.03,-2.465,1.524,4.764,0.732,83.1,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
1000S350-118,0.1242,50,2.245,7.64,33.772,6.754,3.878,3.543,1.256,33.772,6.427,213.25,194.46,16235,9536,11.544,74.03,-2.465,1.524,4.764,0.732,67.8,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
1200S162-541,0.0566,33,0.896,3.05,15.73,2.622,4.19,0.212,0.486,14.743,2.109,41.68,36.38,1377,1377,0.957,6.34,-0.732,0.493,4.281,0.971,37.5,
1200S162-541,0.0566,50,0.896,3.05,15.73,2.622,4.19,0.212,0.486,14.298,1.914,57.31,46.75,1377,1377,0.957,6.34,-0.732,0.493,4.281,0.971,30.5,
1200S162-68,0.0713,33,1.121,3.81,19.518,3.253,4.173,0.255,0.477,18.955,2.817,55.66,50.95,2771,2771,1.899,7.739,-0.719,0.485,4.261,0.972,37.2,
1200S162-68,0.0713,50,1.121,3.81,19.518,3.253,4.173,0.255,0.477,18.39,2.645,79.19,66.14,2771,2771,1.899,7.739,-0.719,0.485,4.261,0.972,30.2,
1200S162-97,0.1017,33,1.576,5.36,26.966,4.494,4.137,0.331,0.459,26.966,4.327,85.51,83.86,8147,7411,5.433,10.331,-0.691,0.47,4.219,0.973,36.4,
1200S162-97,0.1017,50,1.576,5.36,26.966,4.494,4.137,0.331,0.459,26.735,4.091,122.49,111.3,8147,7411,5.433,10.331,-0.691,0.47,4.219,0.973,29.5,
1200S162-118,0.1242,33,1.904,6.48,32.145,5.357,4.109,0.376,0.444,32.145,5.357,105.87,105.87,13189,9714,9.788,12.002,-0.67,0.459,4.187,0.974,35.8,
1200S162-118,0.1242,50,1.904,6.48,32.145,5.357,4.109,0.376,0.444,32.145,5.168,154.74,147.23,14986,11037,9.788,12.002,-0.67,0.459,4.187,0.974,29,
1200S200-541,0.0566,33,0.953,3.24,17.662,2.944,4.306,0.393,0.643,16.678,2.425,47.93,42.47,1377,1377,1.017,11.55,-1.032,0.681,4.474,0.947,48,
1200S200-541,0.0566,50,0.953,3.24,17.662,2.944,4.306,0.393,0.643,16.334,2.073,62.07,54.74,1377,1377,1.017,11.55,-1.032,0.681,4.474,0.947,39,
1200S200-68,0.0713,33,1.192,4.06,21.947,3.658,4.291,0.479,0.634,21.376,3.215,63.54,58.83,2771,2771,2.02,14.176,-1.017,0.673,4.455,0.948,47.7,
1200S200-68,0.0713,50,1.192,4.06,21.947,3.658,4.291,0.479,0.634,20.864,2.963,88.71,76.55,2771,2771,2.02,14.176,-1.017,0.673,4.455,0.948,38.7,
1200S200-97,0.1017,33,1.677,5.71,30.417,5.069,4.258,0.635,0.615,30.417,4.899,96.81,95.43,8147,7411,5.783,19.15,-0.987,0.656,4.414,0.95,47,
1200S200-97,0.1017,50,1.677,5.71,30.417,5.069,4.258,0.635,0.615,30.175,4.66,139.51,126.86,8147,7411,5.783,19.15,-0.987,0.656,4.414,0.95,38.1,
1200S200-118,0.1242,33,2.028,6.9,36.347,6.058,4.234,0.732,0.601,36.347,6.058,119.71,119.71,13189,9714,10.427,22.451,-0.964,0.644,4.384,0.952,46.5,
1200S200-118,0.1242,50,2.028,6.9,36.347,6.058,4.234,0.732,0.601,36.347,5.865,175.59,166.8,14986,11037,10.427,22.451,-0.964,0.644,4.384,0.952,37.7,
1200S250-541,0.0566,33,1.009,3.43,19.681,3.28,4.416,0.683,0.823,18.832,2.482,49.05,45.43,1377,1377,1.078,19.505,-1.378,0.892,4.699,0.914,59.6,
1200S250-541,0.0566,50,1.009,3.43,19.681,3.28,4.416,0.683,0.823,18.433,2.149,64.34,58.39,1377,1377,1.078,19.505,-1.378,0.892,4.699,0.914,48.3,
1200S250-68,0.0713,33,1.263,4.3,24.484,4.081,4.402,0.836,0.813,23.963,3.496,69.08,62.95,2771,2771,2.141,24.034,-1.362,0.884,4.679,0.915,59.2,
1200S250-68,0.0713,50,1.263,4.3,24.484,4.081,4.402,0.836,0.813,23.575,3.007,90.04,81.59,2771,2771,2.141,24.034,-1.362,0.884,4.679,0.915,48.1,
1200S250-97,0.1017,33,1.779,6.05,34.016,5.669,4.373,1.121,0.794,34.016,5.496,108.6,102.52,8147,7411,6.134,32.734,-1.329,0.867,4.639,0.918,58.6,
1200S250-97,0.1017,50,1.779,6.05,34.016,5.669,4.373,1.121,0.794,33.835,5.037,150.82,135.37,8147,7411,6.134,32.734,-1.329,0.867,4.639,0.918,47.5,
1200S250-118,0.1242,33,2.152,7.32,40.726,6.788,4.35,1.307,0.779,40.726,6.788,134.13,133.19,13189,9714,11.065,38.619,-1.305,0.854,4.608,0.92,58.2,
1200S250-118,0.1242,50,2.152,7.32,40.726,6.788,4.35,1.307,0.779,40.726,6.541,195.84,178.57,14986,11037,11.065,38.619,-1.305,0.854,4.608,0.92,47.1,
1200S300-541,0.0566,33,1.066,3.63,21.699,3.617,4.512,1.074,1.004,21.648,2.736,54.06,47.36,1377,1377,1.138,30.051,-1.743,1.111,4.94,0.876,70.8,
1200S300-541,0.0566,50,1.066,3.63,21.699,3.617,4.512,1.074,1.004,21.043,2.272,68.04,60.65,1377,1377,1.138,30.051,-1.743,1.111,4.94,0.876,57.4,
1200S300-68,0.0713,33,1.335,4.54,27.02,4.503,4.499,1.32,0.994,26.918,4.064,80.3,65.72,2771,2771,2.262,37.126,-1.726,1.103,4.921,0.877,70.5,
1200S300-68,0.0713,50,1.335,4.54,27.02,4.503,4.499,1.32,0.994,26.51,3.317,99.32,84.79,2771,2771,2.262,37.126,-1.726,1.103,4.921,0.877,57.2,
1200S300-97,0.1017,33,1.881,6.4,37.616,6.269,4.472,1.786,0.974,37.616,6.035,133.59,116.06,8147,7411,6.484,50.853,-1.691,1.085,4.88,0.88,66,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
1200S300-97,0.1017,50,1.881,6.4,37.616,6.269,4.472,1.786,0.974,37.085,5.831,174.57,141.05,8147,7411,6.484,50.853,-1.691,1.085,4.88,0.88,56.7,
1200S300-118,0.1242,33,2.276,7.75,45.106,7.518,4.452,2.095,0.959,45.106,7.323,165.76,154.65,13189,9714,11.704,60.251,-1.666,1.071,4.849,0.882,64.9,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
1200S300-118,0.1242,50,2.276,7.75,45.106,7.518,4.452,2.095,0.959,44.727,7.232,243.67,201.68,14986,11037,11.704,60.251,-1.666,1.071,4.849,0.882,53,Mal FOOTNOTE 2 Allowable moment includes cold work of forming.
